GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-toy-problems,default,CountingTriplets,58,92,10,6,8,10,7,4,2,1
java-toy-problems,default,firstNonRepeatingCharacter,5,87,1,9,2,12,2,5,1,1
java-toy-problems,default,SubstringGenerator,3,34,0,4,1,7,1,3,1,1
java-toy-problems,default,MinCostFlowers,55,78,7,7,9,15,5,4,1,1
java-toy-problems,default,CommonChild,3,162,0,20,1,24,1,12,1,2
java-toy-problems,default,MaxLuck,24,105,2,6,2,15,5,4,3,2
java-toy-problems,default,SumOfList,3,18,0,0,1,2,1,2,1,2
java-toy-problems,default,SockPairs,3,62,0,6,1,11,1,4,1,1
java-toy-problems,default,PracticePainPoints,29,255,0,6,7,52,4,28,4,25
java-toy-problems,default,MinimumAbsoluteDifference,3,29,0,2,1,4,1,2,1,1
java-toy-problems,default,AlternatingCharacters,5,31,1,3,2,8,2,2,1,1
java-toy-problems,default,HourGlassSum,106,0,4,0,9,0,4,0,2,0
java-toy-problems,default,Briber,117,0,10,0,21,0,8,0,3,0
java-toy-problems,default,RotLeftSolution,48,0,4,0,9,0,4,0,2,0
java-toy-problems,default,UniqueDigits,3,6,0,0,1,1,1,1,1,1
java-toy-problems,default,HourGlassSumSolution,125,0,10,0,12,0,7,0,2,0
java-toy-problems,default,CatTree,36,21,9,3,6,5,8,2,2,2
java-toy-problems,default,SpecialSubstringsCount.Pair,9,0,0,0,4,0,1,0,1,0
java-toy-problems,default,TwoStrings,4,59,0,6,2,9,2,4,2,1
java-toy-problems,default,DataTypeConverter,9,236,8,30,4,45,9,16,1,3
java-toy-problems,default,MaxToys,3,29,0,4,1,9,1,3,1,1
java-toy-problems,default,RotLeft,7,0,0,0,2,0,2,0,2,0
java-toy-problems,default,RansomNote,54,119,0,14,5,15,2,8,2,1
java-toy-problems,default,IsValidString,22,206,9,15,7,30,9,8,1,4
java-toy-problems,default,CountTriplets,5,0,0,0,2,0,2,0,2,0
java-toy-problems,default,SpecialSubstringsCount,272,0,22,0,42,0,18,0,7,0
java-toy-problems,default,BinaryString,5,49,2,6,1,12,3,3,1,1
java-toy-problems,default,MakeAnagram,3,194,0,20,1,25,1,11,1,1
java-toy-problems,default,Person,6,12,0,0,1,5,1,1,1,1
java-toy-problems,default,InversionCount,3,152,0,14,1,26,1,10,1,3
